Name,ExecutionTimeInSeconds,TestDistribution
TestCase1607,50,%Large_50_%Small_50
TestCase587,35,%Large_50_%Small_50
TestCase1573,3,%Large_50_%Small_50
TestCase1338,32,%Large_50_%Small_50
TestCase1452,2,%Large_50_%Small_50
TestCase1638,9,%Large_50_%Small_50
TestCase463,19,%Large_50_%Small_50
TestCase1706,6,%Large_50_%Small_50
TestCase1218,37,%Large_50_%Small_50
TestCase1663,2,%Large_50_%Small_50
TestCase2461,4,%Large_50_%Small_50
TestCase877,6,%Large_50_%Small_50
TestCase580,8,%Large_50_%Small_50
TestCase1134,2,%Large_50_%Small_50
TestCase54,42,%Large_50_%Small_50
TestCase2386,48,%Large_50_%Small_50
TestCase1003,3,%Large_50_%Small_50
TestCase1996,13,%Large_50_%Small_50
TestCase2369,7,%Large_50_%Small_50
TestCase2397,59,%Large_50_%Small_50
TestCase1768,10,%Large_50_%Small_50
TestCase1592,10,%Large_50_%Small_50
TestCase2489,49,%Large_50_%Small_50
TestCase636,9,%Large_50_%Small_50
TestCase881,2,%Large_50_%Small_50
TestCase1924,2,%Large_50_%Small_50
TestCase2474,60,%Large_50_%Small_50
TestCase288,4,%Large_50_%Small_50
TestCase860,41,%Large_50_%Small_50
TestCase334,57,%Large_50_%Small_50
TestCase476,9,%Large_50_%Small_50
TestCase2075,46,%Large_50_%Small_50
TestCase2477,15,%Large_50_%Small_50
TestCase658,29,%Large_50_%Small_50
TestCase639,11,%Large_50_%Small_50
TestCase1808,5,%Large_50_%Small_50
TestCase486,46,%Large_50_%Small_50
TestCase1181,7,%Large_50_%Small_50
TestCase2206,38,%Large_50_%Small_50
TestCase1071,6,%Large_50_%Small_50
TestCase1913,14,%Large_50_%Small_50
TestCase2393,7,%Large_50_%Small_50
TestCase2359,7,%Large_50_%Small_50
TestCase2137,12,%Large_50_%Small_50
TestCase685,7,%Large_50_%Small_50
TestCase2337,3,%Large_50_%Small_50
TestCase1466,33,%Large_50_%Small_50
TestCase2239,2,%Large_50_%Small_50
TestCase2499,34,%Large_50_%Small_50
TestCase668,3,%Large_50_%Small_50
TestCase2232,10,%Large_50_%Small_50
TestCase1650,17,%Large_50_%Small_50
TestCase379,10,%Large_50_%Small_50
TestCase559,21,%Large_50_%Small_50
TestCase97,37,%Large_50_%Small_50
TestCase2171,38,%Large_50_%Small_50
TestCase1306,50,%Large_50_%Small_50
TestCase1926,11,%Large_50_%Small_50
TestCase1099,42,%Large_50_%Small_50
TestCase632,8,%Large_50_%Small_50
TestCase965,2,%Large_50_%Small_50
TestCase1815,30,%Large_50_%Small_50
TestCase1258,59,%Large_50_%Small_50
TestCase1015,7,%Large_50_%Small_50
TestCase2415,6,%Large_50_%Small_50
TestCase1578,19,%Large_50_%Small_50
TestCase491,34,%Large_50_%Small_50
TestCase1993,57,%Large_50_%Small_50
TestCase382,12,%Large_50_%Small_50
TestCase1421,10,%Large_50_%Small_50
TestCase1186,25,%Large_50_%Small_50
TestCase771,4,%Large_50_%Small_50
TestCase1555,40,%Large_50_%Small_50
TestCase1793,19,%Large_50_%Small_50
TestCase897,10,%Large_50_%Small_50
TestCase1663,34,%Large_50_%Small_50
TestCase1173,1,%Large_50_%Small_50
TestCase477,48,%Large_50_%Small_50
TestCase148,35,%Large_50_%Small_50
TestCase1942,32,%Large_50_%Small_50
TestCase920,10,%Large_50_%Small_50
TestCase2176,8,%Large_50_%Small_50
TestCase558,28,%Large_50_%Small_50
TestCase954,59,%Large_50_%Small_50
TestCase2377,58,%Large_50_%Small_50
TestCase2191,2,%Large_50_%Small_50
TestCase2056,46,%Large_50_%Small_50
TestCase1241,3,%Large_50_%Small_50
TestCase1630,58,%Large_50_%Small_50
TestCase1365,10,%Large_50_%Small_50
TestCase1956,16,%Large_50_%Small_50
TestCase1220,9,%Large_50_%Small_50
TestCase1323,53,%Large_50_%Small_50
TestCase1947,1,%Large_50_%Small_50
TestCase900,8,%Large_50_%Small_50
TestCase285,28,%Large_50_%Small_50
TestCase1832,14,%Large_50_%Small_50
TestCase64,27,%Large_50_%Small_50
TestCase272,6,%Large_50_%Small_50
TestCase1381,54,%Large_50_%Small_50
TestCase1787,3,%Large_50_%Small_50
TestCase2485,4,%Large_50_%Small_50
TestCase1641,7,%Large_50_%Small_50
TestCase1670,25,%Large_50_%Small_50
TestCase14,8,%Large_50_%Small_50
TestCase302,26,%Large_50_%Small_50
TestCase1039,25,%Large_50_%Small_50
TestCase1408,9,%Large_50_%Small_50
TestCase1028,4,%Large_50_%Small_50
TestCase2190,3,%Large_50_%Small_50
TestCase2143,20,%Large_50_%Small_50
TestCase2130,21,%Large_50_%Small_50
TestCase549,9,%Large_50_%Small_50
TestCase1614,41,%Large_50_%Small_50
TestCase1908,7,%Large_50_%Small_50
TestCase1824,30,%Large_50_%Small_50
TestCase663,58,%Large_50_%Small_50
TestCase2051,5,%Large_50_%Small_50
TestCase1121,9,%Large_50_%Small_50
TestCase2150,28,%Large_50_%Small_50
TestCase1524,23,%Large_50_%Small_50
TestCase389,3,%Large_50_%Small_50
TestCase998,2,%Large_50_%Small_50
TestCase2256,8,%Large_50_%Small_50
TestCase736,31,%Large_50_%Small_50
TestCase1248,4,%Large_50_%Small_50
TestCase2097,9,%Large_50_%Small_50
TestCase1001,57,%Large_50_%Small_50
TestCase2212,7,%Large_50_%Small_50
TestCase485,7,%Large_50_%Small_50
TestCase778,4,%Large_50_%Small_50
TestCase454,31,%Large_50_%Small_50
TestCase1569,10,%Large_50_%Small_50
TestCase343,9,%Large_50_%Small_50
TestCase374,33,%Large_50_%Small_50
TestCase2469,37,%Large_50_%Small_50
TestCase2045,4,%Large_50_%Small_50
TestCase1648,7,%Large_50_%Small_50
TestCase681,6,%Large_50_%Small_50
TestCase2490,10,%Large_50_%Small_50
TestCase1672,37,%Large_50_%Small_50
TestCase96,5,%Large_50_%Small_50
TestCase1646,43,%Large_50_%Small_50
TestCase635,46,%Large_50_%Small_50
TestCase1032,34,%Large_50_%Small_50
TestCase366,1,%Large_50_%Small_50
TestCase2484,25,%Large_50_%Small_50
TestCase1012,30,%Large_50_%Small_50
TestCase504,10,%Large_50_%Small_50
TestCase2079,16,%Large_50_%Small_50
TestCase2107,1,%Large_50_%Small_50
TestCase2461,29,%Large_50_%Small_50
TestCase2444,51,%Large_50_%Small_50
TestCase229,45,%Large_50_%Small_50
TestCase1616,6,%Large_50_%Small_50
TestCase941,32,%Large_50_%Small_50
TestCase1088,26,%Large_50_%Small_50
TestCase1710,32,%Large_50_%Small_50
TestCase1905,10,%Large_50_%Small_50
TestCase1348,35,%Large_50_%Small_50
TestCase1588,10,%Large_50_%Small_50
TestCase183,39,%Large_50_%Small_50
TestCase285,6,%Large_50_%Small_50
TestCase141,1,%Large_50_%Small_50
TestCase927,18,%Large_50_%Small_50
TestCase1451,1,%Large_50_%Small_50
TestCase1175,26,%Large_50_%Small_50
TestCase1206,50,%Large_50_%Small_50
TestCase417,24,%Large_50_%Small_50
TestCase1419,46,%Large_50_%Small_50
TestCase1080,4,%Large_50_%Small_50
TestCase2430,2,%Large_50_%Small_50
TestCase1832,8,%Large_50_%Small_50
TestCase1148,11,%Large_50_%Small_50
TestCase319,16,%Large_50_%Small_50
TestCase82,2,%Large_50_%Small_50
TestCase498,25,%Large_50_%Small_50
TestCase1233,21,%Large_50_%Small_50
TestCase1051,5,%Large_50_%Small_50
TestCase229,2,%Large_50_%Small_50
TestCase227,46,%Large_50_%Small_50
TestCase2056,4,%Large_50_%Small_50
TestCase1746,6,%Large_50_%Small_50
TestCase2124,17,%Large_50_%Small_50
TestCase510,39,%Large_50_%Small_50
TestCase1578,3,%Large_50_%Small_50
TestCase570,50,%Large_50_%Small_50
TestCase857,31,%Large_50_%Small_50
TestCase1404,22,%Large_50_%Small_50
TestCase2253,5,%Large_50_%Small_50
TestCase429,6,%Large_50_%Small_50
TestCase968,7,%Large_50_%Small_50
TestCase2040,4,%Large_50_%Small_50
TestCase2111,15,%Large_50_%Small_50
TestCase821,53,%Large_50_%Small_50
TestCase1918,5,%Large_50_%Small_50
TestCase611,10,%Large_50_%Small_50
TestCase2429,55,%Large_50_%Small_50
TestCase116,6,%Large_50_%Small_50
TestCase1433,7,%Large_50_%Small_50
TestCase1479,52,%Large_50_%Small_50
TestCase50,4,%Large_50_%Small_50
TestCase962,16,%Large_50_%Small_50
TestCase2146,3,%Large_50_%Small_50
TestCase696,2,%Large_50_%Small_50
TestCase526,2,%Large_50_%Small_50
TestCase256,31,%Large_50_%Small_50
TestCase2456,51,%Large_50_%Small_50
TestCase2068,6,%Large_50_%Small_50
TestCase1179,4,%Large_50_%Small_50
TestCase924,8,%Large_50_%Small_50
TestCase2417,4,%Large_50_%Small_50
TestCase605,9,%Large_50_%Small_50
TestCase915,34,%Large_50_%Small_50
TestCase106,42,%Large_50_%Small_50
TestCase1930,26,%Large_50_%Small_50
TestCase2213,29,%Large_50_%Small_50
TestCase791,59,%Large_50_%Small_50
TestCase2149,44,%Large_50_%Small_50
TestCase1537,22,%Large_50_%Small_50
TestCase1654,20,%Large_50_%Small_50
TestCase276,10,%Large_50_%Small_50
TestCase987,2,%Large_50_%Small_50
TestCase1298,7,%Large_50_%Small_50
TestCase2356,7,%Large_50_%Small_50
TestCase656,13,%Large_50_%Small_50
TestCase760,23,%Large_50_%Small_50
TestCase1483,9,%Large_50_%Small_50
TestCase1854,33,%Large_50_%Small_50
TestCase1906,55,%Large_50_%Small_50
TestCase865,41,%Large_50_%Small_50
TestCase1277,48,%Large_50_%Small_50
TestCase2303,33,%Large_50_%Small_50
TestCase974,59,%Large_50_%Small_50
TestCase1867,25,%Large_50_%Small_50
TestCase2091,10,%Large_50_%Small_50
TestCase849,3,%Large_50_%Small_50
TestCase382,7,%Large_50_%Small_50
TestCase658,6,%Large_50_%Small_50
TestCase1224,4,%Large_50_%Small_50
TestCase730,33,%Large_50_%Small_50
TestCase1706,22,%Large_50_%Small_50
TestCase1240,41,%Large_50_%Small_50
TestCase510,8,%Large_50_%Small_50
TestCase80,6,%Large_50_%Small_50
TestCase2238,10,%Large_50_%Small_50
TestCase950,23,%Large_50_%Small_50
TestCase602,1,%Large_50_%Small_50
TestCase1797,48,%Large_50_%Small_50
TestCase873,52,%Large_50_%Small_50
TestCase1352,25,%Large_50_%Small_50
TestCase2,4,%Large_50_%Small_50
TestCase340,3,%Large_50_%Small_50
TestCase2463,48,%Large_50_%Small_50
TestCase2330,3,%Large_50_%Small_50
TestCase1632,34,%Large_50_%Small_50
TestCase1633,12,%Large_50_%Small_50
TestCase644,14,%Large_50_%Small_50
TestCase1749,19,%Large_50_%Small_50
TestCase323,9,%Large_50_%Small_50
TestCase1034,53,%Large_50_%Small_50
TestCase465,2,%Large_50_%Small_50
TestCase240,6,%Large_50_%Small_50
TestCase885,1,%Large_50_%Small_50
TestCase1727,19,%Large_50_%Small_50
TestCase1712,10,%Large_50_%Small_50
TestCase1090,59,%Large_50_%Small_50
TestCase1255,21,%Large_50_%Small_50
TestCase1577,7,%Large_50_%Small_50
TestCase2270,25,%Large_50_%Small_50
TestCase945,2,%Large_50_%Small_50
TestCase2045,17,%Large_50_%Small_50
TestCase2379,31,%Large_50_%Small_50
TestCase794,10,%Large_50_%Small_50
TestCase1110,3,%Large_50_%Small_50
TestCase453,6,%Large_50_%Small_50
TestCase1293,2,%Large_50_%Small_50
TestCase2061,4,%Large_50_%Small_50
TestCase2335,9,%Large_50_%Small_50
TestCase1936,18,%Large_50_%Small_50
TestCase1709,9,%Large_50_%Small_50
TestCase1410,14,%Large_50_%Small_50
TestCase2031,3,%Large_50_%Small_50
TestCase451,22,%Large_50_%Small_50
TestCase2054,7,%Large_50_%Small_50
TestCase811,5,%Large_50_%Small_50
TestCase1290,60,%Large_50_%Small_50
TestCase2228,6,%Large_50_%Small_50
TestCase1741,9,%Large_50_%Small_50
TestCase1807,7,%Large_50_%Small_50
TestCase449,15,%Large_50_%Small_50
TestCase889,3,%Large_50_%Small_50
TestCase1887,53,%Large_50_%Small_50
TestCase929,2,%Large_50_%Small_50
TestCase1080,53,%Large_50_%Small_50
TestCase475,32,%Large_50_%Small_50
TestCase1382,35,%Large_50_%Small_50
TestCase442,53,%Large_50_%Small_50
TestCase967,10,%Large_50_%Small_50
TestCase1885,59,%Large_50_%Small_50
TestCase966,6,%Large_50_%Small_50
TestCase1753,4,%Large_50_%Small_50
TestCase1334,2,%Large_50_%Small_50
TestCase1714,8,%Large_50_%Small_50
TestCase1026,18,%Large_50_%Small_50
TestCase622,6,%Large_50_%Small_50
TestCase2311,20,%Large_50_%Small_50
TestCase598,22,%Large_50_%Small_50
TestCase1438,56,%Large_50_%Small_50
TestCase706,8,%Large_50_%Small_50
TestCase541,8,%Large_50_%Small_50
TestCase749,8,%Large_50_%Small_50
TestCase1341,13,%Large_50_%Small_50
TestCase1740,59,%Large_50_%Small_50
TestCase1997,5,%Large_50_%Small_50
TestCase1464,58,%Large_50_%Small_50
TestCase8,3,%Large_50_%Small_50
TestCase595,34,%Large_50_%Small_50
TestCase639,10,%Large_50_%Small_50
TestCase6,31,%Large_50_%Small_50
TestCase1126,44,%Large_50_%Small_50
TestCase988,3,%Large_50_%Small_50
TestCase2357,50,%Large_50_%Small_50
TestCase891,10,%Large_50_%Small_50
TestCase1166,6,%Large_50_%Small_50
TestCase376,1,%Large_50_%Small_50
TestCase68,6,%Large_50_%Small_50
TestCase513,9,%Large_50_%Small_50
TestCase1762,48,%Large_50_%Small_50
TestCase920,36,%Large_50_%Small_50
TestCase1240,6,%Large_50_%Small_50
TestCase1920,10,%Large_50_%Small_50
TestCase443,10,%Large_50_%Small_50
TestCase2225,8,%Large_50_%Small_50
TestCase23,16,%Large_50_%Small_50
TestCase1033,39,%Large_50_%Small_50
TestCase1318,1,%Large_50_%Small_50
TestCase2312,6,%Large_50_%Small_50
TestCase475,3,%Large_50_%Small_50
TestCase1800,10,%Large_50_%Small_50
TestCase934,4,%Large_50_%Small_50
TestCase976,59,%Large_50_%Small_50
TestCase502,8,%Large_50_%Small_50
TestCase912,29,%Large_50_%Small_50
TestCase1940,4,%Large_50_%Small_50
TestCase94,6,%Large_50_%Small_50
TestCase1886,58,%Large_50_%Small_50
TestCase613,1,%Large_50_%Small_50
TestCase1964,5,%Large_50_%Small_50
TestCase350,6,%Large_50_%Small_50
TestCase1739,19,%Large_50_%Small_50
TestCase218,13,%Large_50_%Small_50
TestCase1892,2,%Large_50_%Small_50
TestCase1492,24,%Large_50_%Small_50
TestCase1195,45,%Large_50_%Small_50
TestCase279,15,%Large_50_%Small_50
TestCase2416,3,%Large_50_%Small_50
TestCase915,6,%Large_50_%Small_50
TestCase605,52,%Large_50_%Small_50
TestCase1006,3,%Large_50_%Small_50
TestCase1278,59,%Large_50_%Small_50
TestCase347,2,%Large_50_%Small_50
TestCase1698,2,%Large_50_%Small_50
TestCase2316,50,%Large_50_%Small_50
TestCase75,8,%Large_50_%Small_50
TestCase2383,6,%Large_50_%Small_50
TestCase260,42,%Large_50_%Small_50
TestCase1353,17,%Large_50_%Small_50
TestCase1270,13,%Large_50_%Small_50
TestCase867,2,%Large_50_%Small_50
TestCase2293,3,%Large_50_%Small_50
TestCase119,6,%Large_50_%Small_50
TestCase2005,2,%Large_50_%Small_50
TestCase460,7,%Large_50_%Small_50
TestCase629,53,%Large_50_%Small_50
TestCase1011,32,%Large_50_%Small_50
TestCase1795,38,%Large_50_%Small_50
TestCase653,22,%Large_50_%Small_50
TestCase1544,4,%Large_50_%Small_50
TestCase1642,42,%Large_50_%Small_50
TestCase752,5,%Large_50_%Small_50
TestCase140,6,%Large_50_%Small_50
TestCase902,27,%Large_50_%Small_50
TestCase409,57,%Large_50_%Small_50
TestCase2402,11,%Large_50_%Small_50
TestCase704,10,%Large_50_%Small_50
TestCase1772,47,%Large_50_%Small_50
TestCase208,34,%Large_50_%Small_50
TestCase414,53,%Large_50_%Small_50
TestCase105,46,%Large_50_%Small_50
TestCase855,29,%Large_50_%Small_50
TestCase142,6,%Large_50_%Small_50
TestCase1308,5,%Large_50_%Small_50
TestCase108,9,%Large_50_%Small_50
TestCase566,6,%Large_50_%Small_50
TestCase1502,3,%Large_50_%Small_50
TestCase1018,7,%Large_50_%Small_50
TestCase363,6,%Large_50_%Small_50
TestCase1764,1,%Large_50_%Small_50
TestCase1037,46,%Large_50_%Small_50
TestCase595,2,%Large_50_%Small_50
TestCase1442,6,%Large_50_%Small_50
TestCase1211,3,%Large_50_%Small_50
TestCase1565,10,%Large_50_%Small_50
TestCase808,32,%Large_50_%Small_50
TestCase211,33,%Large_50_%Small_50
TestCase2000,6,%Large_50_%Small_50
TestCase371,56,%Large_50_%Small_50
TestCase2142,36,%Large_50_%Small_50
TestCase942,19,%Large_50_%Small_50
TestCase486,5,%Large_50_%Small_50
TestCase1398,1,%Large_50_%Small_50
TestCase2207,47,%Large_50_%Small_50
TestCase1413,33,%Large_50_%Small_50
TestCase1982,32,%Large_50_%Small_50
TestCase2374,9,%Large_50_%Small_50
TestCase1277,2,%Large_50_%Small_50
TestCase938,6,%Large_50_%Small_50
TestCase1563,10,%Large_50_%Small_50
TestCase2035,38,%Large_50_%Small_50
TestCase1061,4,%Large_50_%Small_50
TestCase1368,41,%Large_50_%Small_50
TestCase1074,15,%Large_50_%Small_50
TestCase2121,44,%Large_50_%Small_50
TestCase995,8,%Large_50_%Small_50
TestCase1192,4,%Large_50_%Small_50
TestCase2154,10,%Large_50_%Small_50
TestCase926,8,%Large_50_%Small_50
TestCase2350,9,%Large_50_%Small_50
TestCase886,27,%Large_50_%Small_50
TestCase437,13,%Large_50_%Small_50
TestCase1332,48,%Large_50_%Small_50
TestCase959,46,%Large_50_%Small_50
TestCase835,54,%Large_50_%Small_50
TestCase2164,5,%Large_50_%Small_50
TestCase195,2,%Large_50_%Small_50
TestCase129,3,%Large_50_%Small_50
TestCase1615,4,%Large_50_%Small_50
TestCase2392,48,%Large_50_%Small_50
TestCase1068,44,%Large_50_%Small_50
TestCase1094,54,%Large_50_%Small_50
TestCase49,8,%Large_50_%Small_50
TestCase2476,46,%Large_50_%Small_50
TestCase1929,4,%Large_50_%Small_50
TestCase1915,8,%Large_50_%Small_50
TestCase1372,16,%Large_50_%Small_50
TestCase1151,35,%Large_50_%Small_50
TestCase816,1,%Large_50_%Small_50
TestCase1008,7,%Large_50_%Small_50
TestCase667,59,%Large_50_%Small_50
TestCase1717,4,%Large_50_%Small_50
TestCase812,7,%Large_50_%Small_50
TestCase787,6,%Large_50_%Small_50
TestCase203,8,%Large_50_%Small_50
TestCase1271,23,%Large_50_%Small_50
TestCase122,48,%Large_50_%Small_50
TestCase1251,48,%Large_50_%Small_50
TestCase1349,9,%Large_50_%Small_50
TestCase1186,3,%Large_50_%Small_50
TestCase2366,6,%Large_50_%Small_50
TestCase640,39,%Large_50_%Small_50
TestCase2246,43,%Large_50_%Small_50
TestCase284,4,%Large_50_%Small_50
TestCase424,51,%Large_50_%Small_50
TestCase429,19,%Large_50_%Small_50
TestCase1582,13,%Large_50_%Small_50
TestCase2227,3,%Large_50_%Small_50
TestCase1664,15,%Large_50_%Small_50
TestCase1864,57,%Large_50_%Small_50
TestCase1553,1,%Large_50_%Small_50
TestCase2151,7,%Large_50_%Small_50
TestCase2101,36,%Large_50_%Small_50
TestCase2408,6,%Large_50_%Small_50
TestCase876,49,%Large_50_%Small_50
TestCase291,2,%Large_50_%Small_50
TestCase1446,3,%Large_50_%Small_50
TestCase1456,26,%Large_50_%Small_50
TestCase2127,10,%Large_50_%Small_50
TestCase1302,18,%Large_50_%Small_50
TestCase182,46,%Large_50_%Small_50
TestCase1200,13,%Large_50_%Small_50
TestCase1717,58,%Large_50_%Small_50
TestCase2321,8,%Large_50_%Small_50
TestCase178,10,%Large_50_%Small_50
TestCase1662,7,%Large_50_%Small_50
TestCase913,6,%Large_50_%Small_50
TestCase2125,19,%Large_50_%Small_50
TestCase1106,47,%Large_50_%Small_50
TestCase1592,12,%Large_50_%Small_50
TestCase523,7,%Large_50_%Small_50
TestCase2323,5,%Large_50_%Small_50
TestCase137,28,%Large_50_%Small_50
TestCase11,10,%Large_50_%Small_50
TestCase134,33,%Large_50_%Small_50
TestCase577,25,%Large_50_%Small_50
TestCase384,34,%Large_50_%Small_50
TestCase2258,4,%Large_50_%Small_50
TestCase1529,1,%Large_50_%Small_50
TestCase823,52,%Large_50_%Small_50
TestCase1714,25,%Large_50_%Small_50
TestCase664,9,%Large_50_%Small_50
TestCase1149,48,%Large_50_%Small_50
TestCase2120,3,%Large_50_%Small_50
TestCase888,23,%Large_50_%Small_50
TestCase2473,7,%Large_50_%Small_50
TestCase1063,3,%Large_50_%Small_50
TestCase1624,44,%Large_50_%Small_50
TestCase2096,8,%Large_50_%Small_50
TestCase1060,2,%Large_50_%Small_50
TestCase2446,21,%Large_50_%Small_50
TestCase1153,7,%Large_50_%Small_50
TestCase1489,51,%Large_50_%Small_50
TestCase693,6,%Large_50_%Small_50
TestCase105,2,%Large_50_%Small_50
TestCase914,39,%Large_50_%Small_50
TestCase1520,16,%Large_50_%Small_50
TestCase244,14,%Large_50_%Small_50
TestCase2432,16,%Large_50_%Small_50
TestCase804,9,%Large_50_%Small_50
TestCase550,14,%Large_50_%Small_50
TestCase1560,55,%Large_50_%Small_50
TestCase2233,25,%Large_50_%Small_50
TestCase1473,13,%Large_50_%Small_50
TestCase311,3,%Large_50_%Small_50
TestCase1119,29,%Large_50_%Small_50
TestCase1842,44,%Large_50_%Small_50
TestCase727,10,%Large_50_%Small_50
TestCase2138,50,%Large_50_%Small_50
TestCase646,34,%Large_50_%Small_50
TestCase2453,2,%Large_50_%Small_50
TestCase1653,10,%Large_50_%Small_50
TestCase1507,19,%Large_50_%Small_50
TestCase2359,30,%Large_50_%Small_50
TestCase1246,8,%Large_50_%Small_50
TestCase1752,6,%Large_50_%Small_50
TestCase2067,7,%Large_50_%Small_50
TestCase2375,50,%Large_50_%Small_50
TestCase1439,13,%Large_50_%Small_50
TestCase1418,29,%Large_50_%Small_50
TestCase1796,41,%Large_50_%Small_50
TestCase1049,6,%Large_50_%Small_50
TestCase2196,2,%Large_50_%Small_50
TestCase541,53,%Large_50_%Small_50
TestCase1846,51,%Large_50_%Small_50
TestCase220,27,%Large_50_%Small_50
TestCase1247,30,%Large_50_%Small_50
TestCase2223,49,%Large_50_%Small_50
TestCase1040,7,%Large_50_%Small_50
TestCase1785,58,%Large_50_%Small_50
TestCase1385,7,%Large_50_%Small_50
TestCase1963,54,%Large_50_%Small_50
TestCase1403,9,%Large_50_%Small_50
TestCase1857,8,%Large_50_%Small_50
TestCase1911,9,%Large_50_%Small_50
TestCase1378,47,%Large_50_%Small_50
TestCase691,32,%Large_50_%Small_50
TestCase1609,6,%Large_50_%Small_50
TestCase1910,19,%Large_50_%Small_50
TestCase1556,5,%Large_50_%Small_50
TestCase606,8,%Large_50_%Small_50
TestCase569,28,%Large_50_%Small_50
TestCase147,9,%Large_50_%Small_50
TestCase1771,15,%Large_50_%Small_50
TestCase78,7,%Large_50_%Small_50
TestCase1718,20,%Large_50_%Small_50
TestCase2080,55,%Large_50_%Small_50
TestCase2305,7,%Large_50_%Small_50
TestCase393,29,%Large_50_%Small_50
TestCase1786,3,%Large_50_%Small_50
TestCase1724,20,%Large_50_%Small_50
TestCase1928,51,%Large_50_%Small_50
TestCase2163,11,%Large_50_%Small_50
TestCase536,34,%Large_50_%Small_50
TestCase806,6,%Large_50_%Small_50
TestCase1766,10,%Large_50_%Small_50
TestCase2110,22,%Large_50_%Small_50
TestCase776,8,%Large_50_%Small_50
TestCase1260,47,%Large_50_%Small_50
TestCase1427,30,%Large_50_%Small_50
TestCase310,37,%Large_50_%Small_50
TestCase22,60,%Large_50_%Small_50
TestCase1682,27,%Large_50_%Small_50
TestCase14,21,%Large_50_%Small_50
TestCase1095,10,%Large_50_%Small_50
TestCase1214,50,%Large_50_%Small_50
TestCase898,8,%Large_50_%Small_50
TestCase1325,59,%Large_50_%Small_50
TestCase731,6,%Large_50_%Small_50
TestCase27,28,%Large_50_%Small_50
TestCase1720,9,%Large_50_%Small_50
TestCase488,18,%Large_50_%Small_50
TestCase1188,6,%Large_50_%Small_50
TestCase543,28,%Large_50_%Small_50
TestCase292,3,%Large_50_%Small_50
TestCase2292,23,%Large_50_%Small_50
TestCase2098,17,%Large_50_%Small_50
TestCase741,46,%Large_50_%Small_50
TestCase954,2,%Large_50_%Small_50
TestCase685,32,%Large_50_%Small_50
TestCase2371,6,%Large_50_%Small_50
TestCase945,58,%Large_50_%Small_50
TestCase788,27,%Large_50_%Small_50
TestCase31,5,%Large_50_%Small_50
TestCase754,4,%Large_50_%Small_50
TestCase772,2,%Large_50_%Small_50
TestCase2284,7,%Large_50_%Small_50
TestCase1424,10,%Large_50_%Small_50
TestCase238,2,%Large_50_%Small_50
TestCase1389,8,%Large_50_%Small_50
TestCase926,23,%Large_50_%Small_50
TestCase1229,47,%Large_50_%Small_50
TestCase2319,3,%Large_50_%Small_50
TestCase20,41,%Large_50_%Small_50
TestCase2303,6,%Large_50_%Small_50
TestCase1510,7,%Large_50_%Small_50
TestCase1844,40,%Large_50_%Small_50
TestCase756,1,%Large_50_%Small_50
TestCase198,49,%Large_50_%Small_50
TestCase1366,24,%Large_50_%Small_50
TestCase773,8,%Large_50_%Small_50
TestCase2346,46,%Large_50_%Small_50
TestCase2412,1,%Large_50_%Small_50
TestCase153,7,%Large_50_%Small_50
TestCase875,39,%Large_50_%Small_50
TestCase493,60,%Large_50_%Small_50
TestCase2391,7,%Large_50_%Small_50
TestCase2082,25,%Large_50_%Small_50
TestCase672,3,%Large_50_%Small_50
TestCase1977,38,%Large_50_%Small_50
TestCase526,53,%Large_50_%Small_50
TestCase1473,8,%Large_50_%Small_50
TestCase1197,44,%Large_50_%Small_50
TestCase446,4,%Large_50_%Small_50
TestCase1133,19,%Large_50_%Small_50
TestCase689,49,%Large_50_%Small_50
TestCase433,6,%Large_50_%Small_50
TestCase1980,8,%Large_50_%Small_50
TestCase1672,10,%Large_50_%Small_50
TestCase1863,17,%Large_50_%Small_50
TestCase707,24,%Large_50_%Small_50
TestCase405,9,%Large_50_%Small_50
TestCase717,53,%Large_50_%Small_50
TestCase1,17,%Large_50_%Small_50
TestCase2447,10,%Large_50_%Small_50
TestCase1426,17,%Large_50_%Small_50
TestCase1004,3,%Large_50_%Small_50
TestCase2202,48,%Large_50_%Small_50
TestCase1125,44,%Large_50_%Small_50
TestCase797,14,%Large_50_%Small_50
TestCase2272,2,%Large_50_%Small_50
TestCase1320,6,%Large_50_%Small_50
TestCase2311,7,%Large_50_%Small_50
TestCase1611,12,%Large_50_%Small_50
TestCase1669,4,%Large_50_%Small_50
TestCase1994,29,%Large_50_%Small_50
TestCase1601,55,%Large_50_%Small_50
TestCase1087,13,%Large_50_%Small_50
TestCase1150,7,%Large_50_%Small_50
TestCase391,34,%Large_50_%Small_50
TestCase319,8,%Large_50_%Small_50
TestCase232,30,%Large_50_%Small_50
TestCase1491,1,%Large_50_%Small_50
TestCase1010,9,%Large_50_%Small_50
TestCase953,57,%Large_50_%Small_50
TestCase1723,4,%Large_50_%Small_50
TestCase2073,16,%Large_50_%Small_50
TestCase2118,22,%Large_50_%Small_50
TestCase755,5,%Large_50_%Small_50
TestCase1542,1,%Large_50_%Small_50
TestCase814,27,%Large_50_%Small_50
TestCase1088,2,%Large_50_%Small_50
TestCase2400,47,%Large_50_%Small_50
TestCase2441,2,%Large_50_%Small_50
TestCase1014,52,%Large_50_%Small_50
TestCase493,9,%Large_50_%Small_50
TestCase1196,38,%Large_50_%Small_50
TestCase1399,56,%Large_50_%Small_50
TestCase171,40,%Large_50_%Small_50
